,barometric_pressure,humidity,temperature,wind_direction,wind_speed,solar_radiation
0,30.46,80.0,48.0,151.95,7.87,1.27
1,30.46,79.0,48.0,176.14,7.87,1.25
2,30.46,79.0,48.0,177.54,9.0,1.25
3,30.46,79.0,48.0,167.56,13.5,1.25
4,30.47,79.0,48.0,177.81,15.75,1.27
5,30.47,79.0,48.0,140.58,7.87,1.29
6,30.47,80.0,48.0,171.63,10.12,1.23
7,30.47,84.0,48.0,166.84,10.12,1.25
8,30.47,86.0,48.0,151.93,14.62,1.27
9,30.47,88.0,48.0,173.83,10.12,1.24
10,30.47,88.0,48.0,151.69,10.12,1.26
11,30.47,89.0,49.0,168.38,11.25,1.26
12,30.47,91.0,49.0,91.28,7.87,1.28
13,30.47,96.0,49.0,124.02,13.5,1.25
14,30.47,99.0,49.0,120.72,7.87,1.27
15,30.47,99.0,49.0,147.66,3.37,1.27
16,30.47,99.0,49.0,167.92,11.25,1.25
17,30.48,100.0,49.0,112.55,6.75,1.27
18,30.48,100.0,50.0,132.28,10.12,1.24
19,30.48,100.0,50.0,106.89,9.0,1.25
20,30.48,100.0,50.0,172.54,5.62,1.26
21,30.48,100.0,50.0,87.97,5.62,1.25
22,30.48,100.0,51.0,150.41,11.25,1.26
23,30.48,100.0,51.0,102.63,4.5,1.28
24,30.48,100.0,51.0,154.94,4.5,1.24
25,30.48,100.0,51.0,87.88,4.5,1.26
26,30.48,100.0,51.0,96.52,4.5,1.27
27,30.48,99.0,50.0,98.15,4.5,1.26
28,30.48,99.0,50.0,160.24,5.62,1.27
29,30.48,99.0,50.0,131.5,2.25,1.3
30,30.48,99.0,50.0,133.1,7.87,1.26
31,30.48,99.0,50.0,126.64,11.25,1.27
32,30.48,99.0,49.0,155.31,5.62,1.26
33,30.48,99.0,49.0,126.27,10.12,1.28
34,30.48,100.0,49.0,152.17,7.87,1.27
35,30.47,100.0,49.0,124.52,7.87,1.27
36,30.48,100.0,49.0,17.29,5.62,1.28
37,30.48,100.0,50.0,61.37,4.5,1.3
38,30.47,100.0,51.0,57.31,5.62,1.24
39,30.47,100.0,51.0,125.44,7.87,1.29
40,30.47,100.0,51.0,85.15,3.37,1.3
41,30.47,100.0,51.0,80.0,3.37,1.3
